comment_text,toxic
"misrepresenting administrator scope please take care not to misrepresent how administrators are expected to act, or any other policy in the future - administrators do not make content decisions. what you quoted was particular only to discretionary sanctions which are only applicable in certain arbitration cases. you view has therefore been moved again to the talk page.   please take care not to engage in misrepresentation - you are not outside of this dispute, and your quote was particular to discretionary sanctions. administrators do not make content decisions. see below. please also do not change my view - i suggest you revert your latest edit - failure to do so will result in administrator intervention for deliberate misrepresentation, misuse of the dispute resolution process and vandalism.   
 you are welcome to your view, but you are not welcome to misrepresent administrator policy or to change my view.   you have engaged in misrepresentation, perhaps out of misunderstanding. administrators are only allowed to make discretionary sanctions in arbitration cases where they are explicitly allowed to - kirill's comment was in relation to discretionary sanctions only (check the context of his comment; the heading under which he made it). flonight's comment is in relation to administrator enforcement in general, which is why the sab remedy has been proposed in the homeopathy case.   it is only disruptive where there is edit-warring - that is, edit-warring against consensus (separate policy on conduct). no administrator has made blocks for violations of wp:npov, wp:v, and wp:nor because they can be desysopped for making a rulings on content - for which they do not have the authority. would you like arbitrator clarification?   did you read what i said above? no administrator has made blocks for violations of wp:npov, wp:v, and wp:nor because they can be desysopped for making a rulings on content - for which they do not have the authority. see also: . 
discussing content issues at a conduct rfc is inappropriate - we have a clear distinction between article rfc and rfc on user conduct for that reason. what is acceptable is pointing editors to an article rfc so editors can comment on content (and hence address content issues), and that is where discussion of those issues belong in the dispute resolution process.   so please modify your view so that there is no misrepresentation of policy/norms as it has been sanctioned by the committee in the past (and admins have been sanctioned when using their position to make a ruling on content). article rfc is where comment is made on the content policies you have quoted - you are welcome to direct a link to the discussion there in your view so that it is dealt with.   it seems you don't get the point - it's ok if you think it should be enforceable, but it is completely irresponsible to misrepresent policy by saying that it must be enforcible when it is forbidden. also, it contributes to the confusion editors have about wikipedia norms and policies, and it is unacceptable. therefore, i am referring it directly to the committee.",0
"i still think the collage is silly, especially the magazine cover, but i can live with the improved caption.  (ᛏ)",0
wikipedia is the place to right the wrongs that wikipedia inflicts when it is wielded to harm blameless people.,0
"please do not add nonsense to wikipedia. it is considered vandalism. if you would like to experiment, use the sandbox. thank you. -",0
(2) cannot be grouped into a general rule,0
"go use your drugs, insignificant nobody. eraser of stalker edits",1
"nayef vs. naif nayef and naif are used interchangeably throughout the article. the linked saudi source uses naif, and western media generally uses nayef. both are correct, but we need to pick one and use it consistently. —aco",0
"wikipedia:headless chickens i have nominated your headless chicken page for deletion as it is useless. lets hope it gets deleted, yes.",1
"hi bzuk. unfortunately, you started an edit war with me, and some of my old enemies found an opportunity to ambush me. i really didn't think they would stoop so low as to get me blocked. i have been on wikipedia for a  long time and this has never happened to me. the thing is that my mother was a good friend of cobber kain's. to say his allegiance is the british commonwealth or the united kingdom is plain crazy. most of the british personnel have united kingdom, not british commonwealth or some other country. i think this is just nationalism. i like to see consistency.",0
could you clarify?  do you want me to start an rfc?  i don't see that one was listed in the page history of talk:rasmussen reports.,0
i noticed vandalisms on nov. 20 that made me feel it would occur again.,0
"yep, it was cut around 90 seconds. however it has been released uncut now.",0
"like any article.  find reliable secondary sources about cyvera.  draw facts from such sources.  create an article out of them.  if they don't exist, you can't.  company website doesn't count.  and if you work there, you can't write it.  simple, really.   not?",0
", 1 march 2007 (utc)why does conservapedia redirect here? i came here looking for info. the site is ranked top 10,000 in alexa traffic ratings and has over a quarter million hits on google. this is notable.  13:53",0
"request for sources on merkey article i'll wait and serve wales with the order  will take about 20 days.  i'll make certain someone if there with the camera to get the expression on his face.  i don't want wikipedia, i just want folks to stop the smearing.  clean up the pov in the article or i will be firing all of you.",0
"satellite temperature measurements 
i would welcome your input to the discussion related to the new public domain image of rss and uah global temperature anomaly data here: satellite temperature measurements  update the graphic. thank you.",0
"stop removing matter from talk:permanent makeup.  you are edit warring and in blatant violation of wp:3rr.  if you revert any more, you will be blocked.",0
too bad that admins don't care about edit warring as much as they care about templates. (now this is where they probably block talk page access because i have the audacity to be sarcastic to one of the princes. ),1
"i have restored the section re fatih tekin. i've also added aalst, belgium to my watchlist  however i have no opinion on the matter you're referring to. feel free...",0
he died in siege to be specific.,0
"i see - whenever someone edits with valid viewpoints inconvenient to yours, it is vandalism, is it? what a disgusting, spineless fellow with scholarly pretensions you are! lol!",1
"""|decline=the original reason is still valid - the id clearly represents a group, company or organization. (talk→  ←track) """,0
"hi mumak, thanks for your note. awesome usernamei love those books also -) cheers,",0
"this doesn't confirm, but discusses the possibility .",0
"""please stop stalking me
my brother may think you are an alright well intentioned editor. i do not. i believe you wish to cause drama and put the focus on you. to start a problem with a """"new person"""" with meaningless and unnecessary threats and then run to an administrator to coddle you. following someone around and undoing everything they do, acting like a wikipedia snitch and getting involved in things that don't involve you. that's trollish and stalkerish. all because i deleted my own comment and offended your opinion of right and wrong? seriously, please stop stalking me. i agree with another editor as to the value of something in an article and you pop up to put me in my wiki-place? i quit wikipedia once already because of people like you, please stop trying to run people off. i do not have the time nor inclination to deal with you. please.. go away. - 98.214.81.82  """,0
i think user.a.shetty785 did that.,0
"then you should be using electrical tape.  duct tape was designed for use with heating ducts, which also get hot, and that helps the glue stick better, but that kind of lighting generates much more heat, which will obviously melt it.",0
"(soso says: idiot! follow the rules! if you're a real honest gentleman, then you will respect wikipedia and take down this page,only those who have done great and amazing accomplishments are worthy o having a page. you sir are nothing more than a sad excuse of a human being,'soso out')",1
you have been told the incident had nothing to do with the club. the social club has nothing to do with pfc. at least get you facts right before posting them up on a public domain.,0
likes it up the butt,1
st. louis cardinals project,0
"if wikipedia were better designed there would be a more user-friendly, context-sensitive route to providing feedback.  unfortunately we have to make the best of the current design, with all its faults.  i suggest you reflex upon how you might influence the design to reduce the problems which seem to offend you.",0
"==small minded fascist++
since you're a small minded nerd who can't move we'll leave it. how pitiful little sausages are like you - nothing better to do so 150,000 edits later you've a power crazed hunger to delete. - get a life eh! get out more. and it was the real peter wynne thomas - who's a pile of foolishness now - bless",1
"""
check the pinter talk page.  i think we're making progress on the whole ref situation.  i've been fixing the formatting.  jez is going to split the reflist into """"references"""" and """"further reading"""" tomorrow.  if you feel up to it, why don't you check the online refs, and see if they really support the proposition for which they are cited in the text.  the refs should be understandable by any reader - one shouldn't have to be a scholar to figure it out.     """,0
"if i was so wrong, than report me. the consensus agrees with that statement. and by the way, congratulations- you're the first user i've seen who gave barnstars to themself.",0
"""
another had reverted the edits from today, while i have requested page protection limiting the ability to edit the page. please note that making these help requests would best be at the article's talkpage. it is always recommended that you attempt to discuss your concerns with others there. if you have questions or need help, you can also contact me anytime. best regards,  (talk to me) """,0
". how, exactly, do you make a talk page based discussion about edits without making a point?  another",0
never mind that the gun in this pic is clearly gas operated (large piston under the barrel) while the mp-6/ns-37/ns-45 family (okb-16) were all short recoil.,0
"what's wrong with you?
go kill yourself, you vile creature!!!!!!!!!!!",1
", please refer to the descriptions of nation, country, kingdom and state before making any more changes of this type. a country and a nation are very different things. make sure that you know the difference.   |  talk",0
"p.s.
summerphd, slakr, σ and others - please die a slow and painful death. after you get an actual life, that is.",1
please put it on wikisource. thanks.,0
"*yes, actually, holden is gm's australian marque seeing as how it's the only gm brand in australia.",0
"it is not me you need to convince, take it to wp:arab or to wp:amos.",0
""" march 2009 
 please stop. if you continue to introduce inappropriate pages to wikipedia, you will be blocked from editing.  khaldun """,0
"good faith edits and probably a correct idea, but there's a much easier way to achieve what you want. see talk:metro_transitway#unnecessary_name_change.",0
"how do you get a vandal blocked. hi, how do you get a persistent vandal blocked? the article adelaide university union was vandalised 6 or so times from the same ip address.",0
you are 22 years older than your husband! you are an old cougar! you are an old cougar! you are an old cougar!,1
"""*check this out.  apparently buckles served for a short time in the new york national guard.  we should add that. -  • talk • coor. online amb'dor • """,0
"""""""only exclusive...blah blah..."""" sorry but that is not encyclopedic and i am removing it thanks""",0
"""potential adminhi, i notice you're on wikipedia:list of administrator hopefuls. wikipedia would benefit from more admins. if you have been editing for more than 12 months (preferably 24+ months), and have been editing fairly consistently for the past 6 months (preferably 12+ months) with at least 100 edits a month (this tool will help) - or an explanation for any gaps, and haven't been blocked in the past three years - or a good explanation for a recent block, don't have a recent history of edit warring or arguing with other editors, feel you can explain why you wish to be an admin, can demonstrate some understanding of wikipedia's procedures and processes, or know where to go for guidance, and are confident enough to go through a rfa, please get in touch with me. we can talk about it some more, and if all looks ok, i'll nominate you. ''' ✔tea time''' """,0
hi olahus. leave it with me a little longer and i'll try to ascertain. best.,0
the conspiracy between maters of puppets and tennis expert is outrageoues. stop conspiring a behind my back gainst me. all this obsession with sockpuppets is demeaning of you two. whether a person signs in is irrelevant.german friend never signs it and nobody is threatening him. its quite clear who  i am each time i edit and tennis expert knows it; there is no secrecy about my edits; its just a mater of lazinees; most of the time i just can't be bothered to sign in; there is no law which says you have to. freedom is everything and worrying about sockpuupets is very very petty.jeffreyneave 26 june 2008,0
"by the way, comments like this are against wikipedia's guideline. it is considered bad faith and a personal attack on a user and if i am right about this. that is warning 1 for insulting a user.   i am a user by the way just check out the url to the talk pageeven anon can issue warnings you know, there is nothing saying we can't.",0
"here is a little evidence . an anonymous user on the same service   is also an aol web proxy server.). strangely, i also know a trcourage who uses aol and i can prove it too, many times over.",0
i would not condescend to it. speak to me never.,0
(relinked to page from history),0
i'm confused because he clearly has an agenda to benefit himself and shadowclan. jestix unless your friends with shazbot or a member of shadowclan as well why can't you notice this as well and do something about it? your great at editing articles with notablitiy but you can't stop shazbot from giving me warnings to benefit himself? please be fair and honest and give shazbot a warning.,0
"""hey i heard you like anal fisting hit me up we'll chat on skype my name is """"bigbeareatslittlebunny""""""",1
"i'm thinking of the readers mostly, what the vandal wants to do is disrupt, and i intend to keep that disruption to a minimum.",0
""" thf's conflict of interest and complaints this article is not primarily about the uk; it covers the us, australia and nz and the uk too. there has been no mention here of why that should be so, and turning this page into a us tort reform page is not appropriate.
the """"neutrality"""" tag and """"original research"""" tag was put up by thf, who works for a right wing lobbyist; cool hand luke wishes to keep them in because he appears to be following up old grudges, as can be seen from the conflict of interest entry for thf above. he has, ironically, deleted a good reference to us law, and does not seem to actually be concerned about approving the article.
so, a third opinion of someone who is interested in approving the article, preferably with some knowledge of debate about the tort system outside the us as well as in, would be useful.
 """,0
", my fault the edition is not the problem....",0
thank you for your response. i have since blocked the wikiquote user who claimed to be you. ~  (talk),0
"""
this was in his talkpage:
please refrain from adding nonsense to wikipedia, as you did to user:flonight. it is considered vandalism. if you would like to experiment, use the sandbox.  - dakota ~ ° """,0
"i had some a few weeks ago.  when i saw it in my cubbard i was wondering what i was thinking when i bought it, but after i made it, i was surprised, it was tasty.",0
graft's nom could you provide one of your charts for graft's rfa nom?  i think it would be useful.,0
"2008 (utc) cubs suck burn take it chicago sucks go every other metropolitan area in the world. 214.13.192.187  12:43, 17 november",1
"i have to agree with kevin here. maradona's goal might be worth mentioning though, but should be properly phrased. (t/c)",0
"""
did you just try to forge jimbo wales's signature??? that is a violation of wikipedia policy (i don't know which one, but it's definitely a violation!!!)''''''i'm lonely, talk to me contribs """,0
"we're no strangers to love, you know the rules and so do i.",0
")) don't act like a dumb bot, friend. 59.91.253.122",1
"""i think the awards can just be kept in peyton's own article.  it doesn't make any sense for it to need to be in a separate article where nobody would be able to find it.  now, i made the re-direct before i knew that this article was fully protected, so i couldn't add the information anywhere.  what i'm gonna try to do about this right now is userfy manning's article and then ask an admin to make the change for me.  as for favre and vick, i'll just do those directly momentarily, after i take care of manning's situation.  ''''''(talk) """,0
"""national organisation of labor students
a """"{{prod}}"""" template has been added to the article national organisation of labor students, suggesting that it be deleted according to the proposed deletion process. all contributions are appreciated, but yours may not satisfy wikipedia's criteria for inclusion, and the deletion notice explains why (see also """"what wikipedia is not"""" and wikipedia's deletion policy).  you may contest the proposed deletion by removing the {{dated prod}} notice, but please explain why you disagree with the proposed deletion in your edit summary or on its talk page. also, please consider improving the article to address the issues raised. even though removing the deletion notice will prevent deletion through the proposed deletion process, the article may still be deleted if it matches any of the speedy deletion criteria or it can be sent to articles for deletion, where it may be deleted if consensus to delete is reached.   -(answering machine) """,0
"""ryan postlethwaite looks forward to nicks' return.""",0
a new prince has been born and lives in utah.,0
"""
it looks like sources 34 and 35 in the article support it. (talk) """,0
. you have been warned.,0
""", 27 april 2015 (utc)
 i appreciate you looking for a wp:3o, but i really don't think it was needed.  granted, i'm not sure consensus (as one would use the word in closing an xfd) would be the exact wording - but, there are indeed a few folks who support an unblock.  administrators are tasked with making judgement calls about what is best for the community, and you did fine in that regard.  at least one other administrator was considering unblocking, so you were hardly alone in your thoughts.  as you've stated before, should there be additional problems, they can be reblocked. (and i'm sure there will be plenty of eyes on the ro edits. for a while)
 on a personal note - i apologize if my comment about """"consensus"""" above was troublesome. —    ?  16:38""",0
"3rr
just out of curiosity, have you ever considered researching complaints before throwing out bans willy-nilly?",0
"prior to quickpolls, he would have been perma-blocked by now. guess i'll remove the block again. as soon as i get time, which will probably be about november. if you've got any brains, you will let that particular troll sleep on. best.",1
"im sorry i did copy it from a website, i guess ill delete it.",0
widr's p3n15 two wordssmall as f***,1
that henry jackson looked like a pedo. either way wouldn't want him near my kids.,1
""":great, i've added my opinion to your project baseball talk page. funny how the sum total of the """"consensus"""" was you and two other people just agreeing with each other. and i've gotta say again, consensus just doen't have much meaning when every other baseball manager's page includes some version of this table. it's cool i guess, you just seem to want to monopolize on page to format it how you think it should be. i've pasted what i posted on baseball project talk page below.""",0
"unforunately, for 90% of the students who attend sgu (including myself), we didn't get into us based schools. my earlier edits to add more information was putting a line in which is fact. it is you who must prove that line to be false because i am a student at that university. i am putting that line back in.",0
surveywhat is your favourite food?,0
douch bag thats you.,1
"nicholas white what you may not appreciate, is that he actually deserves it. he is the world's most succesful paedophile, and wikipedia is the best way to ensure that people know what he's up to.",0
"""the grifters tells the story of lilly dillon
i thought it was more about the cusac character.   
it tells the interlocking stories of three characters.  none of the three should be considered the """"main"""" character. -the'fortyfive' """,0
"""speedy deletion of thrice scene
 a tag has been placed on thrice scene requesting that it be speedily deleted from wikipedia. this has been done under section a7 of the criteria for speedy deletion, because the article appears to be about web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. under the criteria for speedy deletion, articles that do not indicate the subject's importance or significance may be deleted at any time. please see the guidelines for what is generally accepted as notable, as well as our subject-specific notability guideline for web content. if you think that this notice was placed here in error, you may contest the deletion by adding  to the top of the page that has been nominated for deletion (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would would render it more in conformance with wikipedia's policies and guidelines. lastly, please note that if the article does get deleted, you can contact one of these admins to request that a copy be emailed to you.   —   """,0
get deskana and kojji to bash me too so i can have a complete set user:big foot123456789,0
"""""""the big show"""" is the correct answer! and it was performed by chapman & baker. i had an audio only copy of the sketch , but not the full show ... bob hope could've been hosting , but had nothing to do with the sketch. ( a further version of the sketch exists performed by  john cleese & connie booth on the album """"the mermaid frolics"""". )  """,0
""" it seems the paragraph starting with """"emanuel lasker answered these criticisms by..."""" deals with achievements in tournaments whereas the next one, starting with """"lasker's match record was..."""" deals with achievements in matches. but then the match against schlechter should be in this second paragraph, not in the first one.   """,0
is this the same as owasco river railroad?,0
"i don't know very much about the unification timeline in those countries, or about the corresponding articles. i do know that leti would have described himself as milanese when in france, britain, or amsterdam, and not as italian. i acknowledge that there is a lot of anachronism on wikipedia, but have the naieve hope that it can be avoided at least in the articles that i work on and will eventually be fixed elsewhere. i feel like most people on the english wikipedia know that milan is in italy, so we aren't doing them a diservice by being more specific. in short, just because other articles are less precise in their style is no reason to perpetuate that style. also, i am not entirely sure that the situation is as dire as you describe it in other areas. for example, most residents of burgundy are refered to as burgundian rather than french.",0
"tamerlan tsarnaev cause of death
most news media reports are saying that although he was shot, he died because he was run over although i haven't heard whether he was run over and killed by his brother trying to escape or the cops in pursuit. the cause of death on this list ought to be changed to reflect that he didn't die from the gsws.",0
"""please do not replace wikipedia pages with blank content. blank pages are harmful to wikipedia because they have a tendency to confuse readers. if it is a duplicate article, please redirect it to an appropriate existing page. if the page has been vandalised, please revert it to the last legitimate version. if you feel that the content of a page is inappropriate, please edit the page and replace it with appropriate content. if you believe there is no hope for the page, please see the deletion policy for how to proceed. thanks for contributing to wikipedia!    melmac """,0
n ig ger nig ger hi n i g g e r,1
"""*neutral initially i proposed deleting the section, when i created the """"remove all supposed tweets of ayatollah khamenei"""" thread above. however, after  so masterfully reorganized the section, i'm not advocating for its removal anymore. also, today iranian semi-official fars news agency published an article, which contained quotes of khamenei, including one in which he calls for full annihilation and destruction of the zionist regime: """"only way to solve this problem is full annihilation and destruction of the zionist regime"""". this quote is from a speech he gave in 2014.  """,0
"""help!
hi steven, i don't know if you have any time but this case,  criticisms of the theory of relativity,  has been waiting a week for a moderator. so please help if  you can. thanks!  —  • talk •  """,0
"attention: racism=
i am white, i suppose i have distant african blood in me though, huh???  johnhistory",0
i favour rembaoud' opinion.,0
"""
  your request to be unblocked has been granted for the following reason(s):
this user is obviously a serious contributor, working simultaneously to remove the unwanted jews from wikipediarequest handled by: 222.153.100.166   unblocking administrator: please check for active autoblocks on this user after accepting the unblock request.""",0
"look, ducking the question doesn't help. i'll ask again: must we supply citations that the easter rising happened in 1916? just because you don't happen to know doesn't make it not widely known. please don't be cowardly and answer this question.",0
"i seriously think you need to take off the swastika badge, shave off the little 'tache and keep your arms, especially the right one, down by your side at all times. oh, and poland have been on the phone. they want you to stop invading them. they said it wasn't funny in the 30's and it still isn't now.",0
"redirect talk:kuwaiti general election, 1999",0
all you've done here is ignore my points and restate your unsubstantiated claim that the information is 'trivial' in your edit summary.,0
"""
(raises hand)   |  39 """,0
"""
i fear for the day that you simple computer programs take over my job, my wife, and my world -) talk """,0
"""it was in unbiased faith which might turn out be """"not good"""" for some.  """,0
"yes, you are a real bully!you are a pathetic failure. you are an inferior person. you are a degenerate.",1
revert to redirect and delete the enterobacteria (disambiguation) redirect. no need to keep the disambiguation at all.,0
"""
the times atlas of world history suggests that the picture at the end of the 15 century is that a number of city states dominated the area of italy - republic of florence, republic of venice, republic of siena, republic of genoa, papal states, naples and sicily/aragon, milan/hapsburgs, and savoy. melmac """,0
"i think that the figures change over time. once we'd invaded and found that the big thing about the wmd was that saddam didn't actually have any left, but wanted people to think he might, then support dropped. before we went in, it was still reasonably plausible and saddam was a bastid anyway. giving post-war polls while talking about the decision to invade skews the picture.",0
"=  concerning the picture on the top of the page =  do you think it's a little bland to post a picture of city hall in the wintertime as the first picture that people view when they read the article? what about if there was a picture of downtown naperville in the summer? it will feature naperville as the bustling, lively city with people on the streets shopping, that it is. i can definitely take pictures and email them to someone for review? just my thoughts on it.",0
dispute resolution? okay good idea. thanks princess.,0
""" the first film with the new logo was """"signs"""" but the change was not fully implemented until the start of 2003, i.e. most/all of the other 2003 post-signs releases used the old logo. """,0
"""
i am not far right. i am jewish, not related to gamergate (it is bizarre and idiotic), and i hate both far right and far left. you are far left, so i hate you.  — preceding unsigned comment added by 190.207.63.200   """,1
about the first paragraph  the text must mention completly because a small part of a text can give a mirrored meaning .,0
""":thank you anyway for your comment.
you know, i think contributors on wp:en are a little bit naieve...
the reasons behind the fact that it is claimed these are not votes but discussions and that votes are not counted is to promote discussions above all (and that is good).
but when you arrive at the level of a """"proposal of deletion"""" or eg in the arbcom process, people vote and then, the reason behing the fact it is claimed these are not vote but -again- discussion is to give the opportunity to admins to """"stop"""" a cabal or a group of power.
and in practice, given they are admins with all pov's, they have to """"count"""" the votes.this lead to the following inconsistence  arbcom suggest some editors would not have the right to edit these pages (given it is not a vote). how can it be good for the encyclopaedia to prevent people to give arguments explaining a matter ? who is punished ? them or the encyclopaedia...
 """,0
lol - you people are absolutely insane.,1
"lindseys statements and time tables are educated guesses. lindsey is an interpreter, not a prophet. while trying to credit him with being wrong you don't acknowledge how the current situation in the world is actually falling more and more in line with what the bible has predicted. also as to your comments on the temple...jews are not christians. hal statements are in reference to what an orthodox jew would think and do. they (jews) do not have the nt, they live by the old covanent which commands them to built the temple. that will happen when they have the opportunity. lastly lindsey is an interpreter, not a prophet.  dean 3:44 am pst",0
now we can get somany syllabus from net or other easy way so that we may get it online,0
redirect talk:impact pro wrestling,0
"sorry, but i still believe you are mistaken.  we don't force people to reveal their names, even if they are editing on behalf of an organization.  as long as the username makes it clear that it's a single individual and not a group account, the username is within policy.  restore your warning if you want, and i'll add my own explanation below it. —",0
"""
kept getting bumped out.  not sure why.   talk """,0
"possibly unfree image:develyn.jpg 
an image that you uploaded or altered, image:develyn.jpg, has been listed at wikipedia:possibly unfree images because its copyright status is unclear or disputed. if the image's copyright status cannot be verified, it may be deleted. you may find more information on the image description page. you are welcome to add comments to its entry at the discussion if you are interested in it not being deleted. thank you.",0
"beano, are the references notable?",0
"please restore / stop removing my comments. effectively, you are now using the block function as an excuse to gag me, even though you've protected the page already. i feel more and more like taking this to the administrators noticeboard. they won't do anything about this dispute i'm sure, but the behaviour i've experienced is completely unacceptable and i'm sure there are more conscientious users and admins who'd benefit from learning about this. kiernan and yourself are both in particular need of advice. you feel you're just enforcing a rule, but in fact i'm only reverting because i myself have been reverted without engagement while advocating a very reasonable position. what i have done is very easily dealt with, what kiernan and friends have done is considerably more pernicious. 80.42.3.248",0
"god of course teliasonera owns it, that is the isp. it is no indication of that the ip is shared 78.68.210.173",0
